tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
5954,,,,,CPP,subs ex ag,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CIELO BIANCO,2017,74999,88044,228,No,,
5964,,Colonial Navigation,3-feb,byzantine maritime,CPP,ex eafr / subs rsea/opts,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHRISOPIGI LADY,2005,71810,83973,228,No,,
6000,,Jo Shipping A/S,,jo invest as,CPP,subs transpac,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JO ROWAN,2013,74500,83385,229,No,,
6107,,,,,DPP,ICE 1C/West opts,30.01.20,13-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,bw despina,2019,115000,124000,,,,
6081,,Fredriksen Group,,frontline,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,FRONT POLLUX,2017,109899,126008,252,No,,
6091,,Sinokor Merchant,,sinokor merchant marine,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC RAWAN,2017,109999,124511,250,No,,
6014,,Nakata Maritime,,nakata gumi,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MORNING SWAN,2014,79995,86724,219,No,,
6024,,Product Shpg & Trd,,oceanbulk group,CPP,Gulei,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,RES COGITANS,2004,74999,84020,221,No,,
6075,,Scorpio Group,,Scorpio,DPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI CONNAUGHT,2015,109999,134400,256,No,,
6089,,Aker,,ocean yield,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI SUPREME,2016,109999,125294,250,No,,
5975,,Sinokor Merchant,,sinokor merchant marine,CPP,west opts,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC JULIA,2017,66269,85968,219,No,,
6099,,China COSCO Shipping,,coscocs,DPP,,30.01.20,22-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NAN LIN WAN,2017,109700,126280,250,No,,
